distance,traffic_level,delivery_time,weather_condition,risk_level
15.61,1,74,2,Medium
38.08,1,87,1,Medium
29.55,1,60,2,Medium
24.35,5,52,1,High
7.08,4,199,2,High
7.08,5,167,2,High
3.27,4,189,2,High
34.78,5,136,2,High
24.44,5,210,2,High
28.61,3,187,0,Medium
1.8,5,68,0,Medium
38.83,2,188,1,Medium
33.47,3,111,2,High
9.28,5,129,1,High
8.09,1,31,0,Low
8.15,2,235,1,Medium
12.87,2,106,0,Low
21.47,2,41,2,High
17.85,3,68,2,High
12.36,5,223,2,High
24.86,5,42,1,High
6.44,1,75,1,Low
12.39,1,184,2,Medium
15.29,2,142,2,Medium
18.79,1,46,0,Low
31.62,3,133,1,High
8.79,5,127,1,High
21.06,2,217,2,High
24.1,1,221,2,Medium
2.81,3,117,1,Medium
24.69,3,138,2,High
7.65,1,192,2,Medium
3.54,5,99,2,High
38.01,1,187,0,Low
38.66,2,228,1,High
32.53,1,103,2,Medium
12.88,3,92,0,Low
4.81,1,185,1,Low
27.69,5,89,0,Medium
18.17,4,108,2,High
5.76,1,66,1,Low
20.31,5,51,0,Medium
2.34,5,225,0,Medium
36.46,3,177,2,High
11.09,5,125,0,Medium
26.84,5,97,1,High
13.16,5,221,1,High
21.28,5,46,2,High
22.32,2,41,1,Medium
8.21,2,179,2,High
38.81,3,174,1,High
31.23,1,167,1,Medium
37.64,5,147,0,Medium
35.9,1,222,0,Low
24.32,1,51,1,Medium
36.95,3,149,2,High
4.45,5,239,0,Medium
8.64,5,79,2,High
2.76,4,43,1,Medium
13.69,1,221,1,Low
16.16,1,204,2,High
11.58,2,58,0,Low
33.32,4,233,1,High
14.91,2,193,2,Medium
11.96,2,209,0,Low
22.17,2,154,1,Medium
6.5,3,233,1,Medium
32.29,3,36,0,Medium
3.91,2,58,0,Low
39.49,4,168,0,Medium
31.12,1,62,1,Medium
8.75,4,163,1,Medium
1.22,5,140,2,High
32.8,3,108,2,High
28.57,1,189,0,Low
29.43,1,208,1,Medium
31.08,5,232,1,High
3.89,5,87,0,Medium
14.98,2,55,2,Medium
5.52,3,203,0,Low
34.66,3,58,2,High
25.31,4,33,1,High
13.91,2,238,2,High
3.48,2,128,2,High
13.13,2,170,1,Medium
13.68,2,68,2,Medium
29.45,3,44,0,Medium
25.86,3,148,0,Medium
35.6,2,58,0,Low
19.42,4,186,2,High
5.66,1,104,1,Low
28.82,1,145,0,Low
30.67,4,61,0,Medium
22.89,2,159,1,Medium
31.07,3,204,0,Medium
20.26,1,235,2,High
21.39,5,113,1,High
17.67,5,51,1,High
1.99,4,232,1,Medium
5.21,2,56,2,High
2.23,1,224,1,Low
25.82,2,110,2,High
13.26,1,155,1,Low
20.83,4,213,2,High
36.4,4,121,0,Medium
10.72,5,50,2,High
17.0,2,76,0,Low
30.47,5,237,2,High
9.92,2,130,2,Medium
4.0,5,216,1,High
12.3,3,113,0,Low
7.29,3,35,0,Low
37.26,3,176,2,High
32.52,3,214,2,High
25.7,1,226,2,High
34.99,3,160,2,High
32.34,4,30,2,High
8.28,4,87,0,Medium
35.81,1,153,2,High
22.03,3,195,2,High
32.49,3,44,2,High
35.95,3,191,2,High
13.4,5,218,1,High
5.29,2,192,1,Medium
9.89,5,93,2,High
17.66,2,54,2,High
32.9,3,53,2,High
34.57,3,41,1,Medium
1.27,5,47,1,High
20.92,5,44,0,Medium
17.28,2,237,2,High
9.66,4,56,0,Medium
5.67,2,101,1,Medium
14.17,5,89,2,High
37.77,5,203,2,High
13.6,1,174,2,Medium
21.23,5,122,2,High
28.42,1,82,2,High
15.18,4,37,2,High
38.9,2,108,2,High
38.54,2,56,0,Low
10.82,1,203,1,Low
20.39,2,79,2,High
12.73,5,228,0,Medium
12.11,3,160,2,High
2.44,1,122,1,Low
24.77,2,221,0,Low
20.6,1,201,1,Medium
3.01,1,210,1,Low
11.87,3,53,0,Low
36.42,5,89,0,High
10.34,1,151,0,Low
6.65,2,160,2,Medium
20.09,4,177,0,Medium
39.44,1,75,0,Low
10.44,1,44,0,Low
27.21,3,182,0,Medium
30.7,5,235,2,High
10.27,4,228,2,High
29.4,2,46,1,Medium
15.34,4,155,0,Medium
25.66,2,113,2,High
25.71,5,38,2,High
21.9,2,195,2,High
4.52,3,205,1,Medium
33.58,3,217,0,Medium
13.51,3,92,2,High
8.27,3,146,2,High
2.59,4,159,2,High
24.04,5,117,1,High
27.43,2,101,1,Medium
1.65,2,168,1,Medium
20.97,3,93,2,High
9.83,3,234,2,High
26.16,1,238,0,Low
7.8,5,101,2,High
27.95,4,50,2,High
16.08,2,47,2,Medium
37.53,1,93,0,Low
6.36,1,111,0,Low
14.3,2,139,0,Low
5.43,4,124,1,Medium
37.06,1,195,0,Low
35.22,1,61,2,Medium
11.06,5,40,0,Medium
26.74,4,74,2,High
32.87,1,62,2,Medium
22.65,4,131,1,High
21.66,2,198,2,High
10.43,3,165,2,High
4.63,1,40,2,Medium
35.99,5,208,2,High
36.12,2,117,2,High
25.69,4,70,0,High
14.22,2,174,0,Low
14.62,1,105,2,Medium
29.31,4,150,0,Medium
35.99,3,75,1,Medium
35.6,2,189,2,High
31.42,1,236,1,Medium
26.04,5,109,2,High
4.28,4,83,0,Medium
7.3,2,115,1,Medium
36.04,2,121,0,Low
24.65,3,177,2,High
1.36,3,190,2,High
4.96,5,231,2,High
26.88,5,197,1,High
1.2,1,189,0,Low
7.27,1,126,0,Low
22.4,5,31,1,High
27.98,5,62,2,High
26.43,4,234,2,High
9.75,3,187,1,Medium
28.77,1,190,2,High
10.25,3,106,2,High
13.69,3,145,0,Low
30.11,5,183,2,High
26.34,4,179,1,High
34.12,2,132,0,Low
26.65,4,223,1,High
23.16,4,195,1,High
4.65,3,132,2,High
15.34,4,119,1,Medium
11.34,1,203,2,Medium
10.52,3,151,0,Low
38.95,1,172,2,High
16.33,2,135,0,Low
35.79,3,148,2,High
25.61,2,201,2,High
32.0,3,78,2,High
20.6,5,133,1,High
23.5,4,232,2,High
20.21,5,90,2,High
8.61,2,224,0,Low
29.18,4,152,1,High
11.95,3,163,2,High
1.95,4,38,1,High
26.17,1,35,2,Medium
7.91,4,102,2,High
37.68,1,132,2,Medium
38.2,4,189,1,High
36.68,1,70,2,Medium
15.44,2,143,1,Medium
1.6,5,233,2,High
37.2,3,37,0,Medium
17.7,4,101,1,High
38.7,5,207,2,High
38.58,3,121,2,High
34.27,3,91,2,High
12.48,1,113,2,High
16.02,2,91,2,High
34.19,2,140,0,Low
13.36,5,156,1,High
7.61,2,36,2,Medium
22.72,4,232,0,Medium
37.51,2,113,2,High
28.15,5,237,2,High
23.23,2,161,1,Medium
4.79,4,163,2,High
24.99,1,87,2,High
39.61,5,51,2,High
6.46,1,183,2,Medium
21.21,1,156,2,High
35.22,1,32,2,Medium
29.89,3,156,0,Medium
28.18,3,70,2,High
28.4,1,217,0,Low
15.02,5,135,1,High
12.45,4,43,0,Medium
32.57,4,232,0,Medium
32.59,2,239,1,Medium
34.82,5,41,0,Medium
36.62,3,116,2,High
20.94,1,41,0,Low
20.56,2,170,1,Medium
32.13,4,54,2,High
26.35,3,74,1,High
28.38,3,151,1,Medium
32.04,1,176,2,Medium
35.71,4,84,2,High
14.18,5,129,1,High
15.65,3,202,1,Medium
4.67,1,165,1,Low
23.55,5,148,2,High
2.4,4,82,2,High
19.16,3,212,0,Low
22.16,5,61,0,High
12.18,5,80,1,High
24.04,5,73,2,High
2.19,3,111,2,High
2.46,3,227,2,High
33.08,2,175,2,High
15.05,4,179,2,High
5.96,1,66,1,Low
21.37,5,125,2,High
31.03,2,85,0,Low
9.42,1,134,1,Low
25.29,2,88,0,Low
4.33,3,160,0,Low
3.02,5,185,1,High
21.72,1,231,0,Low
22.08,1,64,2,High
25.86,1,218,0,Low
29.32,1,122,2,Medium
39.06,1,211,2,High
21.14,2,220,2,High
13.6,5,236,2,High
32.01,3,126,0,Medium
11.56,3,164,1,High
18.12,3,105,1,Medium
4.06,3,78,0,Low
1.99,2,123,2,Medium
38.54,4,188,2,High
33.6,5,215,2,High
28.14,1,218,0,Low
16.95,4,53,0,Medium
7.76,3,177,1,Medium
7.1,4,66,0,Medium
10.76,5,33,2,High
22.42,1,137,0,Low
28.87,1,155,1,Medium
26.75,5,49,2,High
11.92,5,217,1,High
38.24,3,181,1,High
29.78,1,79,2,High
22.62,4,206,1,High
24.86,2,208,1,Medium
17.36,2,125,0,Low
10.66,5,134,0,High
14.88,3,193,2,High
30.56,2,146,0,Low
1.56,1,127,0,Low
5.53,5,95,1,High
2.79,4,108,2,High
2.59,5,191,0,Medium
34.36,4,193,2,High
28.44,5,35,0,High
19.49,5,68,0,High
4.82,5,199,2,High
20.17,4,144,2,High
19.47,4,215,2,High
7.75,5,154,2,High
17.92,2,41,1,Medium
16.54,3,160,0,Low
25.02,3,47,0,Medium
25.77,3,69,0,Medium
2.77,4,50,2,High
15.61,4,172,2,High
25.41,2,128,1,Medium
20.62,3,55,2,High
34.4,3,37,2,High
26.69,5,129,2,High
7.35,4,116,1,Medium
3.75,3,71,2,High
26.05,2,201,2,High
2.03,2,43,1,Medium
23.85,3,107,0,Medium
37.67,4,31,1,High
23.44,2,148,0,Low
16.14,5,66,2,High
26.09,2,98,2,High
18.87,1,195,2,Medium
22.28,1,70,2,Medium
37.72,4,91,2,High
16.06,3,89,2,High
38.49,4,154,0,Medium
36.31,4,140,2,High
8.64,4,43,1,Medium
3.71,4,113,0,Medium
4.93,5,159,2,High
1.71,5,99,0,High
4.68,2,174,1,Medium
27.64,1,152,1,Medium
3.78,4,118,2,High
13.44,2,57,1,Medium
33.95,1,95,0,Low
1.91,3,192,1,Medium
32.76,5,34,0,Medium
11.99,1,222,0,Low
5.61,3,197,1,Medium
28.17,1,233,2,Medium
25.53,5,213,2,High
35.22,5,193,1,High
29.67,2,74,0,Low
32.34,4,180,0,High
12.0,1,76,1,Low
7.92,1,60,2,Medium
30.27,3,168,2,High
32.47,5,39,0,Medium
39.63,1,224,0,Low
17.09,5,147,2,High
15.51,1,43,2,High
31.28,2,109,1,Medium
14.29,4,231,0,Medium
37.3,1,122,0,Low
34.48,5,39,2,High
