order_id,region_id,city,courier_id,lng,lat,aoi_id,aoi_type,accept_time,accept_gps_time,accept_gps_lng,accept_gps_lat,delivery_time,delivery_gps_time,delivery_gps_lng,delivery_gps_lat,ds,distance,delivery_duration,traffic_level,weather_condition,predicted_risk,risk_probability
3322376,31,Jilin,4849,126.56526,43.84112,94,14,09-25 08:08:00,09-25 08:08:00,126.56614,43.87092,09-25 11:32:00,09-25 11:32:00,126.56919,43.84248,925,3.17182514865498,204.0,4,2,High,0.95
4093119,31,Jilin,4849,126.56519,43.8411,94,14,08-21 09:11:00,08-21 09:11:00,126.56611,43.87081,08-21 15:00:00,08-21 15:00:00,126.56939,43.84269,821,3.137841648991832,349.0,5,1,High,0.83
36226,31,Jilin,4849,126.56987,43.85017,235,14,06-08 15:42:00,06-08 15:42:00,126.56612,43.87074,06-08 17:24:00,06-08 17:24:00,126.57628,43.84771,608,2.6872581807289455,102.0,3,1,Medium,0.74
4455630,31,Jilin,4849,126.56991,43.85006,235,14,06-07 14:54:00,06-07 14:54:00,126.56597,43.87104,06-07 16:58:00,06-07 16:58:00,126.5703,43.84985,607,2.381657623357563,124.0,5,2,High,0.96
4084072,31,Jilin,4849,126.56984,43.85009,235,14,08-27 10:07:00,08-27 10:07:00,126.56608,43.8707,08-27 12:01:00,08-27 12:01:00,126.57007,43.8498,827,2.345887921553524,114.0,5,1,High,0.84
782332,31,Jilin,4849,126.56996,43.85017,235,14,07-25 07:39:00,07-25 07:39:00,126.56668,43.87065,07-25 09:34:00,07-25 09:34:00,126.56983,43.84855,725,2.4703516276032262,115.0,2,1,Medium,0.9
3687996,31,Jilin,4849,126.5695,43.85019,235,14,05-19 15:18:00,05-19 15:18:00,126.56603,43.87084,05-19 17:19:00,05-19 17:19:00,126.5714,43.84761,519,2.6186944626604225,121.0,3,1,Medium,0.74
2000667,31,Jilin,4849,126.56989,43.85012,235,14,06-09 09:37:00,06-09 09:37:00,126.56604,43.87108,06-09 10:40:00,06-09 10:40:00,126.57317,43.85027,609,2.3835305542760428,63.0,3,0,Low,0.89
3803636,31,Jilin,435,126.56212,43.86611,570,1,08-31 08:58:00,08-31 08:58:00,126.56605,43.8707,08-31 17:00:00,08-31 17:00:00,126.56274,43.86629,831,0.5575564674670944,482.0,3,0,Low,0.83
1703107,31,Jilin,435,126.5621,43.86661,570,1,09-05 08:33:00,09-05 08:33:00,126.56604,43.87076,09-05 10:27:00,09-05 10:27:00,126.56198,43.86663,905,0.5628713550164126,114.0,5,1,High,0.85
3146980,31,Jilin,435,126.56217,43.8666,570,1,09-04 08:26:00,09-04 08:26:00,126.56616,43.87077,09-04 11:04:00,09-04 11:04:00,126.56598,43.86278,904,0.8885646398647771,158.0,4,2,High,0.93
1188099,31,Jilin,435,126.56215,43.86626,570,1,07-16 07:52:00,07-16 07:52:00,126.56614,43.87064,07-16 13:40:00,07-16 13:40:00,126.56189,43.86659,716,0.564694285480529,348.0,3,2,High,0.86
2564707,31,Jilin,435,126.56288,43.86695,570,1,07-15 07:48:00,07-15 07:48:00,126.56607,43.87078,07-15 12:04:00,07-15 12:04:00,126.56278,43.86719,715,0.47844531399910556,256.0,5,1,High,0.83
2178430,31,Jilin,435,126.56373,43.86716,570,1,07-03 07:50:00,07-03 07:50:00,126.56608,43.87075,07-03 09:15:00,07-03 09:15:00,126.56371,43.86513,703,0.6531582873352545,85.0,2,0,Low,0.98
4326336,31,Jilin,435,126.56204,43.86668,570,1,06-16 07:37:00,06-16 07:37:00,126.56606,43.87066,06-16 11:39:00,06-16 11:39:00,126.56247,43.86678,616,0.5186126340078642,242.0,4,0,Medium,0.9
118247,31,Jilin,435,126.56269,43.86519,570,1,06-14 07:53:00,06-14 07:53:00,126.56596,43.87115,06-14 09:52:00,06-14 09:52:00,126.56275,43.86521,614,0.7088547418482316,119.0,2,1,Medium,0.83
3019820,31,Jilin,435,126.56239,43.86514,570,1,08-15 07:55:00,08-15 07:55:00,126.56619,43.87079,08-15 10:52:00,08-15 10:52:00,126.56167,43.8654,815,0.7003586401235699,177.0,4,0,Medium,0.9
573091,31,Jilin,435,126.56189,43.86762,570,1,08-04 08:17:00,08-04 08:17:00,126.56604,43.87061,08-04 10:38:00,08-04 10:38:00,126.56168,43.86773,804,0.47403858502155827,141.0,5,0,Medium,0.97
4229443,31,Jilin,435,126.56342,43.86715,570,1,08-31 08:58:00,08-31 08:58:00,126.56612,43.87078,08-31 11:42:00,08-31 11:42:00,126.56222,43.86633,831,0.585309862061825,164.0,1,2,Medium,0.91
2510744,31,Jilin,435,126.56359,43.8654,570,1,09-19 07:43:00,09-19 07:43:00,126.56606,43.87077,09-19 12:27:00,09-19 12:27:00,126.56365,43.86554,919,0.6128006360435703,284.0,4,1,Medium,0.76
1562257,31,Jilin,435,126.56198,43.86764,570,1,08-27 09:10:00,08-27 09:10:00,126.5662,43.87111,08-27 12:51:00,08-27 12:51:00,126.56296,43.8671,827,0.5160216929018064,221.0,2,0,Low,0.91
